Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Premier 5.0+,Pool G,5,Single game,Jersey Boyz,Last Place,Jersey Boyz,21,17,,,,,Corey Weiss,Matt Spolarich,,Ben Arauzo,Zayne Shields,
Pool Play,Premier 5.0+,Pool H,5,Single game,Lazy,Royal Flush,Lazy,21,13,,,,,Luke Marshall,Cade Larson,,Bryant Karratti,Jake LeBaron,
Pool Play,Premier 5.0+,Pool H,5,Single game,Sawtooth Spikers,Charlie and the Chocolate Factory,Sawtooth Spikers,21,15,,,,,Thomas Maloney,Dennis Joseph,,David Mitchell,Charlie Camarena,
Pool Play,Premier 5.0+,Pool I,5,Single game,"Depression, Cheez-Its, and Cargo Shorts",Hit Ball Hard,"Depression, Cheez-Its, and Cargo Shorts",21,18,,,,,Taylor Church,Garrett Carver,,Adam Porter,Garrett Ashton,
Pool Play,Premier 5.0+,Pool I,5,Single game,Big Dawgs,"Happenstance ",Big Dawgs,21,10,,,,,Caleb Cummings,Tyler Fernandez,,Jalen Butkus,John Hickmott,
Pool Play,Premier 5.0+,Pool J,5,Single game,Chelsea United,Disordered,Disordered,17,21,,,,,Josh Fragiacomo,Ethan Zehr,,Solomon Berry,Andrew Greer,
Pool Play,Premier 5.0+,Pool J,5,Single game,BorderLine,Couldn't Carry less,BorderLine,21,15,,,,,Kaleb Wagner,Trey Thompson,,Slade Warner,Arrow Griner,
Pool Play,Premier 5.0+,Pool A,6,Single game,Judgment Day,Bad Combo,Judgment Day,21,17,,,,,fredric hinkle,Gabriel Finocchi,,Rahul Murthy,Will Picone,
Pool Play,Premier 5.0+,Pool A,6,Single game,TRP Mermaid Sparkle,Morgan/Mowry,TRP Mermaid Sparkle,21,19,,,,,Noah Luskus,Christian Bennett,,Dawson Morgan,Luke Mowry,
Pool Play,Premier 5.0+,Pool B,6,Single game,Assistive Touch,TRP Spotless,TRP Spotless,15,21,,,,,Clark Marshall,Buddy Hammon,,Joe Bondi,Ryan Gross,
Pool Play,Premier 5.0+,Pool B,6,Single game,Insystem,Cigar Boys,Cigar Boys,15,21,,,,,Blake Bosak,Etienne Cote,,Grant Laughlin,Dan Abrams,
Pool Play,Premier 5.0+,Pool C,6,Single game,TRP Moneyline,Edgerunners,TRP Moneyline,21,13,,,,,Ryder Rivadeneyra,Matthew Cole,,Chase Meyer,Clifton Miller,
Pool Play,Premier 5.0+,Pool C,6,Single game,here to slay,Lanky and Clanky,here to slay,21,18,,,,,Dax O'Hair,bradley thompson,,Grant Gouger,Jesse Lehn,
Pool Play,Premier 5.0+,Pool D,6,Single game,Not.Ok,Native Texans,Not.Ok,21,19,,,,,Xande Plaisted,Anthony Clifford,,Dylan Bricker,Grayson M  Wills,
Pool Play,Premier 5.0+,Pool D,6,Single game,Hot‘n‘cold,Moon Boys,Moon Boys,16,21,,,,,Trent Alderfer,Cody Brower,,Jordan Freitas,Conner Bradshaw,
Pool Play,Premier 5.0+,Pool E,6,Single game,Quality Service,NK.,Quality Service,21,16,,,,,Jacob Payer,Andrew Kosche,,kevin um,Nick Wideman,
Pool Play,Premier 5.0+,Pool E,6,Single game,BenDu Over,Teenage Dirtbags,BenDu Over,23,21,,,,,Michael Du,Benjamin Banuelos,,Taylor Sanford,Kannon Forbush,
Pool Play,Premier 5.0+,Pool F,6,Single game,WySpike Synergy,Ball Blasters,WySpike Synergy,21,18,,,,,Matthew Burrows,Nick Noguez,,David Gonzales,Rendall Weaver,
Pool Play,Premier 5.0+,Pool F,6,Single game,Dialed,Burqueños,Dialed,21,15,,,,,Luke Pennington,Josh Cain,,Luke Freimanis,Daniel Blodgett,
Pool Play,Premier 5.0+,Pool G,6,Single game,Profit Boost,Jersey Boyz,Jersey Boyz,19,21,,,,,Justin Shaytar,Kieran Rose,,Corey Weiss,Matt Spolarich,
Pool Play,Premier 5.0+,Pool G,6,Single game,Goblin giant,Last Place,Goblin giant,21,17,,,,,Kyan Kornfeld,Nickhil Anantha,,Ben Arauzo,Zayne Shields,
Pool Play,Premier 5.0+,Pool H,6,Single game,Lazy,Sawtooth Spikers,Lazy,21,14,,,,,Luke Marshall,Cade Larson,,Thomas Maloney,Dennis Joseph,
Pool Play,Premier 5.0+,Pool H,6,Single game,Royal Flush,Charlie and the Chocolate Factory,Royal Flush,21,16,,,,,Bryant Karratti,Jake LeBaron,,David Mitchell,Charlie Camarena,
Pool Play,Premier 5.0+,Pool I,6,Single game,"Depression, Cheez-Its, and Cargo Shorts",Big Dawgs,Big Dawgs,19,21,,,,,Taylor Church,Garrett Carver,,Caleb Cummings,Tyler Fernandez,
Pool Play,Premier 5.0+,Pool I,6,Single game,Hit Ball Hard,"Happenstance ",Hit Ball Hard,21,17,,,,,Adam Porter,Garrett Ashton,,Jalen Butkus,John Hickmott,
Pool Play,Premier 5.0+,Pool J,6,Single game,Chelsea United,BorderLine,BorderLine,17,21,,,,,Josh Fragiacomo,Ethan Zehr,,Kaleb Wagner,Trey Thompson,
Pool Play,Premier 5.0+,Pool J,6,Single game,Disordered,Couldn't Carry less,Couldn't Carry less,16,21,,,,,Solomon Berry,Andrew Greer,,Slade Warner,Arrow Griner,
Bracket Stage,Premier 5.0+,A Bracket,Round of 32,Best of 3,Lazy,here to slay,Lazy,21,18,21,16,,,Luke Marshall,Cade Larson,,Dax O'Hair,bradley thompson,
Bracket Stage,Premier 5.0+,A Bracket,Round of 32,Best of 3,TRP Moneyline,Royal Flush,TRP Moneyline,21,16,21,17,,,Ryder Rivadeneyra,Matthew Cole,,Bryant Karratti,Jake LeBaron,
Bracket Stage,Premier 5.0+,A Bracket,Round of 32,Best of 3,Not.Ok,Chelsea United,Not.Ok,21,18,23,21,,,Xande Plaisted,Anthony Clifford,,Josh Fragiacomo,Ethan Zehr,
Bracket Stage,Premier 5.0+,A Bracket,Round of 32,Best of 3,Quality Service,Moon Boys,Quality Service,21,15,21,16,,,Jacob Payer,Andrew Kosche,,Jordan Freitas,Conner Bradshaw,
Bracket Stage,Premier 5.0+,A Bracket,Round of 32,Best of 3,WySpike Synergy,BenDu Over,WySpike Synergy,21,18,21,16,,,Matthew Burrows,Nick Noguez,,Michael Du,Benjamin Banuelos,
Bracket Stage,Premier 5.0+,A Bracket,Round of 32,Best of 3,Big Dawgs,Jersey Boyz,Big Dawgs,24,22,21,15,,,Caleb Cummings,Tyler Fernandez,,Corey Weiss,Matt Spolarich,
Bracket Stage,Premier 5.0+,A Bracket,Round of 32,Best of 3,BorderLine,"Depression, Cheez-Its, and Cargo Shorts",BorderLine,18,21,21,16,21,18,Kaleb Wagner,Trey Thompson,,Taylor Church,Garrett Carver,
Bracket Stage,Premier 5.0+,A Bracket,Round of 32,Best of 3,Profit Boost,Dialed,Profit Boost,21,18,21,16,,,Justin Shaytar,Kieran Rose,,Luke Pennington,Josh Cain,
Bracket Stage,Premier 5.0+,A Bracket,Round of 16,Best of 3,Judgment Day,Profit Boost,Judgment Day,21,17,22,20,,,fredric hinkle,Gabriel Finocchi,,Justin Shaytar,Kieran Rose,
Bracket Stage,Premier 5.0+,A Bracket,Round of 16,Best of 3,TRP Spotless,BorderLine,TRP Spotless,21,16,21,10,,,Joe Bondi,Ryan Gross,,Kaleb Wagner,Trey Thompson,
Bracket Stage,Premier 5.0+,A Bracket,Round of 16,Best of 3,Insystem,Big Dawgs,Insystem,21,16,21,18,,,Blake Bosak,Etienne Cote,,Caleb Cummings,Tyler Fernandez,
Bracket Stage,Premier 5.0+,A Bracket,Round of 16,Best of 3,Bad Combo,WySpike Synergy,Bad Combo,21,18,21,17,,,Rahul Murthy,Will Picone,,Matthew Burrows,Nick Noguez,
Bracket Stage,Premier 5.0+,A Bracket,Round of 16,Best of 3,Assistive Touch,Quality Service,Assistive Touch,22,20,21,12,,,Clark Marshall,Buddy Hammon,,Jacob Payer,Andrew Kosche,
Bracket Stage,Premier 5.0+,A Bracket,Round of 16,Best of 3,TRP Mermaid Sparkle,Not.Ok,Not.Ok,18,21,21,15,22,24,Noah Luskus,Christian Bennett,,Xande Plaisted,Anthony Clifford,
